Start Time,End Time,Actor,Event Type,System 1,System 2,System 3,System 4,System 5
2020-02-08 09:59:54.860279,2020-02-08 10:02:35.489996,Actor 1,Event type 2,Yes,Yes,No,No,No
2020-02-08 10:04:09.560797,2020-02-08 10:05:43.631598,Actor 1,Event type 4,No,Yes,Yes,Yes,Yes
2020-02-08 10:11:19.536046,2020-02-08 10:16:55.440494,Actor 1,Event type 5,No,No,Yes,No,No
2020-02-08 10:22:30.840757,2020-02-08 10:28:06.241020,Actor 1,Event type 2,No,No,Yes,Yes,Yes
2020-02-08 10:29:07.147545,2020-02-08 10:30:08.054070,Actor 2,Event type 5,No,No,Yes,No,No
2020-02-08 10:30:13.358176,2020-02-08 10:30:18.662282,Actor 2,Event type 1,No,Yes,Yes,Yes,Yes
2020-02-08 10:35:13.930604,2020-02-08 10:40:09.198926,Actor 1,Event type 2,No,No,No,No,Yes
2020-02-08 10:44:43.936034,2020-02-08 10:49:18.673142,Actor 1,Event type 2,No,Yes,No,Yes,Yes
2020-02-08 10:52:30.729909,2020-02-08 10:55:42.786676,Actor 1,Event type 3,Yes,No,No,No,Yes
2020-02-08 10:58:46.254796,2020-02-08 11:01:49.722916,Actor 1,Event type 5,No,Yes,Yes,Yes,Yes
2020-02-08 11:07:26.126132,2020-02-08 11:13:02.529348,Actor 2,Event type 2,No,No,No,Yes,Yes
2020-02-08 11:16:45.215828,2020-02-08 11:20:27.902308,Actor 2,Event type 2,No,No,No,No,Yes
2020-02-08 11:23:08.631185,2020-02-08 11:25:49.360062,Actor 2,Event type 4,No,No,No,Yes,Yes
2020-02-08 11:26:01.272269,2020-02-08 11:26:13.184476,Actor 2,Event type 5,No,Yes,No,No,No
2020-02-08 11:27:25.045016,2020-02-08 11:28:36.905556,Actor 1,Event type 3,No,No,No,Yes,No
2020-02-08 11:32:09.444052,2020-02-08 11:35:41.982548,Actor 1,Event type 2,No,Yes,Yes,No,No
2020-02-08 11:36:49.915417,2020-02-08 11:37:57.848286,Actor 1,Event type 1,Yes,Yes,Yes,No,No
2020-02-08 11:40:41.221041,2020-02-08 11:43:24.593796,Actor 1,Event type 3,Yes,No,Yes,No,Yes
2020-02-08 11:48:32.949627,2020-02-08 11:53:41.305458,Actor 1,Event type 1,Yes,Yes,No,Yes,Yes
2020-02-08 11:54:28.782103,2020-02-08 11:55:16.258748,Actor 1,Event type 2,Yes,Yes,No,Yes,Yes
2020-02-08 11:57:46.572006,2020-02-08 12:00:16.885264,Actor 2,Event type 3,Yes,No,No,Yes,No
2020-02-08 12:04:49.319839,2020-02-08 12:09:21.754414,Actor 2,Event type 2,No,Yes,No,No,Yes
2020-02-08 12:13:23.806172,2020-02-08 12:17:25.857930,Actor 1,Event type 5,No,Yes,No,Yes,Yes
2020-02-08 12:21:52.147504,2020-02-08 12:26:18.437078,Actor 1,Event type 1,No,Yes,Yes,No,Yes
2020-02-08 12:29:03.964571,2020-02-08 12:31:49.492064,Actor 2,Event type 4,Yes,Yes,Yes,No,Yes
2020-02-08 12:37:33.267998,2020-02-08 12:43:17.043932,Actor 1,Event type 5,Yes,No,No,No,Yes
2020-02-08 12:47:02.255942,2020-02-08 12:50:47.467952,Actor 2,Event type 5,Yes,Yes,Yes,Yes,Yes
2020-02-08 12:52:44.396947,2020-02-08 12:54:41.325942,Actor 1,Event type 3,No,Yes,No,Yes,No
2020-02-08 12:54:51.975351,2020-02-08 12:55:02.624760,Actor 2,Event type 5,No,Yes,Yes,Yes,Yes
2020-02-08 13:00:51.325162,2020-02-08 13:06:40.025564,Actor 2,Event type 4,No,Yes,Yes,Yes,No
2020-02-08 13:09:13.085132,2020-02-08 13:11:46.144700,Actor 2,Event type 5,No,Yes,Yes,No,No
2020-02-08 13:13:15.707379,2020-02-08 13:14:45.270058,Actor 2,Event type 2,No,Yes,No,Yes,No
2020-02-08 13:20:34.435167,2020-02-08 13:26:23.600276,Actor 2,Event type 5,Yes,No,Yes,Yes,Yes
2020-02-08 13:29:42.980004,2020-02-08 13:33:02.359732,Actor 1,Event type 1,Yes,No,Yes,No,No
2020-02-08 13:33:13.218991,2020-02-08 13:33:24.078250,Actor 1,Event type 3,No,Yes,No,No,Yes
2020-02-08 13:34:21.456267,2020-02-08 13:35:18.834284,Actor 2,Event type 3,Yes,No,Yes,Yes,Yes
2020-02-08 13:36:41.094632,2020-02-08 13:38:03.354980,Actor 2,Event type 1,Yes,Yes,No,Yes,No
2020-02-08 13:39:32.770527,2020-02-08 13:41:02.186074,Actor 1,Event type 2,No,No,Yes,No,No
2020-02-08 13:41:32.863467,2020-02-08 13:42:03.540860,Actor 1,Event type 1,Yes,Yes,Yes,Yes,No
2020-02-08 13:45:19.643357,2020-02-08 13:48:35.745854,Actor 1,Event type 1,Yes,Yes,No,Yes,No
2020-02-08 13:49:25.379283,2020-02-08 13:50:15.012712,Actor 1,Event type 2,Yes,Yes,No,Yes,Yes
2020-02-08 13:51:27.182994,2020-02-08 13:52:39.353276,Actor 2,Event type 3,Yes,No,Yes,Yes,No
2020-02-08 13:53:55.851855,2020-02-08 13:55:12.350434,Actor 1,Event type 5,No,No,No,No,Yes
2020-02-08 13:59:06.394665,2020-02-08 14:03:00.438896,Actor 2,Event type 1,No,No,No,Yes,No
2020-02-08 14:05:01.826053,2020-02-08 14:07:03.213210,Actor 1,Event type 3,Yes,Yes,No,No,No
2020-02-08 14:10:31.540256,2020-02-08 14:13:59.867302,Actor 2,Event type 5,Yes,Yes,Yes,Yes,Yes
2020-02-08 14:18:34.277953,2020-02-08 14:23:08.688604,Actor 2,Event type 1,No,Yes,Yes,Yes,Yes
2020-02-08 14:27:52.862708,2020-02-08 14:32:37.036812,Actor 2,Event type 1,Yes,No,Yes,No,Yes
2020-02-08 14:38:07.050358,2020-02-08 14:43:37.063904,Actor 1,Event type 3,No,No,Yes,No,Yes
2020-02-08 14:46:06.429903,2020-02-08 14:48:35.795902,Actor 2,Event type 1,No,No,Yes,No,Yes
2020-02-08 14:53:07.933871,2020-02-08 14:57:40.071840,Actor 2,Event type 4,Yes,Yes,No,Yes,No
2020-02-08 15:02:14.383273,2020-02-08 15:06:48.694706,Actor 2,Event type 2,No,Yes,Yes,Yes,Yes
2020-02-08 15:07:52.947977,2020-02-08 15:08:57.201248,Actor 1,Event type 1,No,Yes,No,Yes,No
2020-02-08 15:11:35.967442,2020-02-08 15:14:14.733636,Actor 1,Event type 3,Yes,Yes,No,No,Yes
2020-02-08 15:19:03.163205,2020-02-08 15:23:51.592774,Actor 1,Event type 3,Yes,Yes,No,Yes,Yes
2020-02-08 15:25:48.662385,2020-02-08 15:27:45.731996,Actor 2,Event type 3,No,No,Yes,Yes,No
2020-02-08 15:32:06.909246,2020-02-08 15:36:28.086496,Actor 2,Event type 3,Yes,No,Yes,Yes,Yes
2020-02-08 15:39:16.676353,2020-02-08 15:42:05.266210,Actor 1,Event type 4,No,Yes,No,No,No
2020-02-08 15:42:07.363367,2020-02-08 15:42:09.460524,Actor 1,Event type 3,No,Yes,Yes,Yes,Yes
2020-02-08 15:47:06.016263,2020-02-08 15:52:02.572002,Actor 2,Event type 4,No,No,Yes,Yes,Yes
2020-02-08 15:54:26.133526,2020-02-08 15:56:49.695050,Actor 2,Event type 1,Yes,No,Yes,Yes,No
2020-02-08 15:59:46.814876,2020-02-08 16:02:43.934702,Actor 1,Event type 3,No,No,No,Yes,Yes
2020-02-08 16:06:15.043632,2020-02-08 16:09:46.152562,Actor 2,Event type 1,No,No,Yes,Yes,No
